0,Amazon,True
1,Cisco,False
2,Montblanc,True
3,Patagonia,True
4,Hershey,True
5,Nokia,False
6,Eagle Creek,True
7,Prosper,True
0,Apple,True
1,Fig,True
2,Mango,True
3,Kiwi,True
4,Papaya,False
5,Orange,True
0,Triumph,True
1,Harmony,True
2,Genesis,True
3,Vision,True
4,Pioneer,True
5,Vanguard,True
6,Zenith,True
7,Allure,True
8,Tempo,True
9,Fidelity,False
0,Jaguar,True
1,Puma,True
2,Penguin,True
3,Greyhound,True
4,Dove,True
5,Fox,True
6,Lynx,True
0,Ford,False
1,Disney,False
2,Tesla,False
3,Boeing,False
4,Dell,False
5,Ferrero,False
6,Benetton,False
7,Levi Strauss,True
8,Versace,False
9,Philips,False
0,Amazon,False
1,Nike,False
2,Midas,True
3,Mars,True
4,Hermes,True
5,Hyperion,True
6,Vulcan,True
7,Pegasus,True
