0,Amazon,False
1,Cisco,False
2,Montblanc,False
3,Patagonia,False
4,Hershey,False
5,Nokia,False
6,Eagle Creek,False
7,Prosper,True
0,Apple,True
1,Fig,True
2,Mango,True
3,Kiwi,True
4,Papaya,True
5,Orange,True
0,Triumph,False
1,Harmony,False
2,Genesis,False
3,Vision,False
4,Pioneer,True
5,Vanguard,False
6,Zenith,False
7,Allure,False
8,Tempo,False
9,Fidelity,False
0,Jaguar,False
1,Puma,True
2,Penguin,False
3,Greyhound,True
4,Dove,True
5,Fox,False
6,Lynx,True
0,Ford,False
1,Disney,False
2,Tesla,False
3,Boeing,False
4,Dell,False
5,Ferrero,True
6,Benetton,False
7,Levi Strauss,False
8,Versace,False
9,Philips,False
0,Amazon,False
1,Nike,False
2,Midas,False
3,Mars,False
4,Hermes,False
5,Hyperion,False
6,Vulcan,False
7,Pegasus,False
